,global_unique_identifier,last_edited_date,taxonomic_order,category,common_name,scientific_name,subspecies_common_name,subspecies_scientific_name,observation_count,breeding_bird_atlas_code,breeding_bird_atlas_category,age_sex,country,country_code,state,state_code,county,county_code,iba_code,bcr_code,usfws_code,atlas_block,locality,locality_id,locality_type,latitude,longitude,observation_date,time_observations_started,observer_id,sampling_event_identifier,protocol_type,protocol_code,project_code,duration_minutes,effort_distance_km,effort_area_ha,number_observers,all_species_reported,group_identifier,has_media,approved,reviewed,reason,trip_comments,species_comments,v47,pelagic,legit,duplicate
487,URN:CornellLabOfOrnithology:EBIRD:OBS237511584,43:31.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Santa Barbara,US-CA-083,,NA,,,Offshore--Point Conception I,L2686469,P,34.6241678,-120.7342529,2011-05-03,7:40:00,obsr221434,S17247050,Stationary,P21,EBIRD,110,NA,NA,1,1,,0,1,0,,"Clear skies, NE wind 15MPH",,NA,TRUE,1,
518,URN:CornellLabOfOrnithology:EBIRD:OBS118759574,11:18.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,Oregon,US-OR,Lincoln,US-OR-041,,NA,,,Offshore survey - transect 53,L1167816,P,44.43939,-125.1684,2011-05-11,15:20:00,obsr267011,S8261825,Traveling,P22,EBIRD,20,11.265,NA,1,1,,0,1,0,,"Observations made from MS Amsterdam on cruise from San Diego, CA to Vancouver, BC.",,NA,TRUE,1,
481,URN:CornellLabOfOrnithology:EBIRD:OBS119020653,00:35.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,San Luis Obispo,US-CA-079,,NA,,,CA Offshore,L1170026,P,35.0503056,-121.6747778,2011-05-14,9:00:00,obsr230086,S8277008,Traveling,P22,EBIRD,60,33.795,NA,1,1,,0,1,0,,,,NA,TRUE,1,
53,URN:CornellLabOfOrnithology:EBIRD:OBS125625771,46:08.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Mendocino,US-CA-045,,NA,,,SEA-S236-IO-013,L1268531,P,39.338,-125.137,2011-07-26,7:00:00,obsr58678,S8770389,Incidental,P20,EBIRD,NA,NA,NA,1,0,,0,1,0,,"Approximately 60 nm (70 statute miles) W of Mendocino Bay, CA.","First noticed by Chang sometime in the dawn watch, so it likely found us even further west.  Stayed perched on the shrouds for much of the day.  I got good looks at it, leaving no question about the ID.",NA,TRUE,1,
534,URN:CornellLabOfOrnithology:EBIRD:OBS124692356,17:46.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,San Diego,US-CA-073,,NA,,,Thirty Mile Bank (SD Co.),L717370,H,32.6440004,-117.7281189,2011-08-15,11:20:00,obsr29050,S8708755,Traveling,P22,EBIRD,135,32.187,NA,40,1,G290273,0,1,0,,"BVAS pelagic trip aboard Grande. Transit over the Thirty Mile Bank from halfway across the San Diego Trough west to the LA County line. Seas about 1m, wind about 5 knots. Overcast skies.",,NA,TRUE,1,
9,URN:CornellLabOfOrnithology:EBIRD:OBS218809087,10:48.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,Canada,CA,British Columbia,CA-BC,Kitimat-Stikine,CA-BC-KS,,NA,,,Can- BC- Hecate Strait,L2434067,P,52.2143386,-130.0341797,2012-05-19,7:20:00,obsr21114,S15757111,Incidental,P20,EBIRD,NA,NA,NA,1,1,,0,1,0,,,,NA,TRUE,1,
523,URN:CornellLabOfOrnithology:EBIRD:OBS459674028,44:32.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,X,,,,United States,US,Washington,US-WA,Grays Harbor,US-WA-027,,NA,,,Offshore Washington Coast - Between Quinalt and Gray's Canyon,L5374366,P,47.1358,-125.4263,2012-07-11,,obsr333350,S33876489,Historical,P62,EBIRD,NA,24.14,NA,2,1,,0,1,0,,"Birding while on the R/V Thompson in July 2012, travelling off the shelf between Quinalt and Grays canyons. Birds seen at multiple locations in areas offshore the WA coast around the shelf and shelf break where research was taking place. I did not record the exact locations of bird sightings.",On the boat!,NA,TRUE,1,
54,URN:CornellLabOfOrnithology:EBIRD:OBS583159670,41:48.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,X,,,,United States,US,California,US-CA,San Diego,US-CA-073,,NA,,,Off Pt. Loma (offshore species only),L717362,H,32.6219112,-117.2666931,2013-02-25,10:00:00,obsr567508,S43265359,Traveling,P22,EBIRD,240,48.28,NA,2,0,,0,1,0,,whale watch.  With Christen Foehring,,NA,TRUE,1,
525,URN:CornellLabOfOrnithology:EBIRD:OBS210899381,40:19.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,Canada,CA,British Columbia,CA-BC,Sunshine Coast,CA-BC-SC,,NA,,,Horseshoe Bay-Nanaimo ferry,L339319,H,49.2866192,-123.5896683,2013-09-14,7:00:00,obsr113983,S15174429,Traveling,P22,EBIRD,60,32.187,NA,4,1,G695842,0,1,0,,"With Rob Lyske, Colin Clasen, Tanya Patzke",flying around and landing on the ferry,NA,TRUE,1,
512,URN:CornellLabOfOrnithology:EBIRD:OBS257040505,25:27.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,3,,,,United States,US,Oregon,US-OR,Curry,US-OR-015,,NA,,,Offshore survey - transect 53,L2885480,P,42.034729,-125.07453,2014-05-01,9:40:00,obsr267011,S18600946,Traveling,P22,EBIRD,20,11.265,NA,15,1,,0,1,0,,"Observations made from MS Westerdam on cruise from San Diego, CA to Vancouver, BC.",,NA,TRUE,1,
